algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER-NOTREE;synthea_400;3;26.16;295.22;0.0;107.52;12.11;441.01;728.43;5.93;66.94;0.0;24.38;2.75
PGKEYMAKER-NOTREE;synthea_400;4;16.59;151.9;0.0;39.11;4.88;212.48;396.3;7.81;71.49;0.0;18.41;2.3
PGKEYMAKER-NOTREE;synthea_400;5;23.98;269.14;0.0;67.35;8.39;368.86;573.93;6.5;72.97;0.0;18.26;2.27
PGKEYMAKER-NOTREE;synthea_400;6;25.37;282.01;0.0;58.01;7.01;372.4;497.28;6.81;75.73;0.0;15.58;1.88
PGKEYMAKER-NOTREE;synthea_400;7;32.82;391.59;0.0;92.77;11.44;528.62;725.37;6.21;74.08;0.0;17.55;2.16
PGKEYMAKER-NOTREE;synthea_400;8;33.9;390.79;0.0;101.75;22.86;549.3;693.41;6.17;71.14;0.0;18.52;4.16
PGKEYMAKER-NOTREE;synthea_500;1;21.36;168.59;0.0;40.65;4.27;234.87;502.21;9.09;71.78;0.0;17.31;1.82
PGKEYMAKER-NOTREE;synthea_500;2;28.76;324.39;0.0;112.49;13.26;478.9;850.08;6.01;67.74;0.0;23.49;2.77
PGKEYMAKER-NOTREE;synthea_500;3;30.16;326.92;0.0;114.22;13.24;484.54;876.89;6.22;67.47;0.0;23.57;2.73
PGKEYMAKER-NOTREE;synthea_500;4;22.12;169.66;0.0;58.72;10.35;260.85;416.66;8.48;65.04;0.0;22.51;3.97
PGKEYMAKER-NOTREE;synthea_500;5;27.99;316.39;0.0;73.38;9.49;427.25;568.67;6.55;74.05;0.0;17.17;2.22
PGKEYMAKER-NOTREE;synthea_500;6;27.65;339.5;0.0;77.15;8.52;452.82;592.04;6.11;74.97;0.0;17.04;1.88
PGKEYMAKER-NOTREE;synthea_500;7;39.64;487.69;0.0;115.36;14.5;657.19;882.95;6.03;74.21;0.0;17.55;2.21
PGKEYMAKER-NOTREE;synthea_500;8;40.47;506.27;0.0;133.89;27.87;708.5;830.23;5.71;71.46;0.0;18.9;3.93
PGKEYMAKER-NOTREE;synthea_600;1;47.96;397.12;0.0;60.68;7.89;513.65;582.36;9.34;77.31;0.0;11.81;1.54
PGKEYMAKER-NOTREE;synthea_600;2;40.26;436.31;0.0;144.97;18.12;639.66;1023.23;6.29;68.21;0.0;22.66;2.83
PGKEYMAKER-NOTREE;synthea_600;3;40.44;434.02;0.0;166.66;19.07;660.19;1125.43;6.13;65.74;0.0;25.24;2.89
PGKEYMAKER-NOTREE;synthea_600;4;26.57;231.93;0.0;69.55;7.41;335.46;508.79;7.92;69.14;0.0;20.73;2.21
PGKEYMAKER-NOTREE;synthea_600;5;40.58;482.3;0.0;116.93;13.84;653.65;707.95;6.21;73.79;0.0;17.89;2.12
PGKEYMAKER-NOTREE;synthea_600;6;41.33;499.38;0.0;111.79;12.56;665.06;752.89;6.21;75.09;0.0;16.81;1.89
PGKEYMAKER-NOTREE;synthea_600;7;56.57;701.04;0.0;179.36;21.16;958.13;1165.73;5.9;73.17;0.0;18.72;2.21
PGKEYMAKER-NOTREE;synthea_600;8;59.03;723.03;0.0;202.93;92.07;1077.06;1053.97;5.48;67.13;0.0;18.84;8.55
PGKEYMAKER-NOTREE;synthea_700;1;28.21;281.22;0.0;67.3;6.43;383.16;546.93;7.36;73.39;0.0;17.56;1.68
PGKEYMAKER-NOTREE;synthea_700;2;44.32;568.44;0.0;188.88;20.48;822.12;1101.55;5.39;69.14;0.0;22.97;2.49
